"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000183853",65.1518504233862,9.21634757645366,1.57770348564,5.84162211742534,5.16949629012048e-09,1.03806064392657e-07
"ENSG00000186235",54.5824264146067,4.12077008476879,0.705482183952376,5.84106895752163,5.18669282494862e-09,1.04092370110669e-07
"ENSG00000157193",4111.36943530477,-2.12375116465094,0.363755824458385,-5.83839768837546,5.27052319725523e-09,1.05714876949703e-07
"ENSG00000274253",339.923637089535,5.61435927356005,0.961837874794356,5.83711602619144,5.31121114818975e-09,1.06470696825794e-07
"ENSG00000125089",973.437319199193,2.9383215954749,0.503798449041352,5.83233553232658,5.46568693272133e-09,1.09319911084616e-07
"ENSG00000184702",279.291889530722,4.86559325368761,0.834291896446327,5.83200349231803,5.47657725157573e-09,1.09442475237797e-07
"ENSG00000105997",323.885254214217,11.529682502121,1.97749402150838,5.83045125634637,5.52776846506674e-09,1.10374641809241e-07
"ENSG00000196209",121.237019052411,7.21902553242818,1.23826283020223,5.82996223124066,5.54399224439018e-09,1.10636221566642e-07
"ENSG00000274422",179.5160410475,4.18738120777027,0.718362332488512,5.82906566560161,5.57385689060534e-09,1.1110701113057e-07
"ENSG00000136573",3376.89444010261,7.46331366089846,1.28039389037068,5.82892008234889,5.57872102307319e-09,1.1114142636631e-07
"ENSG00000170954",33.5912267937655,7.91654593679257,1.35824772970564,5.82849929630162,5.59280327999485e-09,1.11359346702629e-07
"ENSG00000137941",111.038456557192,-2.32995784119247,0.399822616858066,-5.82747884424854,5.62709806601035e-09,1.11979251513606e-07
"ENSG00000182247",232.343081033079,2.02779014476035,0.348021546493699,5.82662241803775,5.65603818536814e-09,1.12491962157277e-07
"ENSG00000171954",12.1502210503722,-4.77677687381583,0.819916563501038,-5.82593045006803,5.67952668649457e-09,1.12895731924248e-07
"ENSG00000224174",28.580716170444,2.90164310899473,0.498120057269151,5.82518825863476,5.70482546899283e-09,1.13335012766497e-07
"ENSG00000126778",23.4984912324087,-6.74311294236551,1.15768172251456,-5.82466908756153,5.72258737410288e-09,1.1362415356809e-07
"ENSG00000230082",12.0153011451299,3.28925132772405,0.565227548850201,5.81934007713375,5.90804200782268e-09,1.17043995526339e-07
"ENSG00000175556",185.345120430243,4.99438939262881,0.858516928921321,5.81746174639093,5.97479293641247e-09,1.18300232193182e-07
"ENSG00000185880",1046.70349282231,-2.13380371501396,0.366825688104428,-5.816941899681,5.99339616284254e-09,1.18602278704027e-07
"ENSG00000142945",2790.90938336768,-3.61420888126619,0.621624202953726,-5.81413796968139,6.094713229577e-09,1.20405427784761e-07
"ENSG00000306878",18.8288428989877,7.42691379111284,1.27773097310959,5.8125802280883,6.15171845110615e-09,1.21463863419778e-07
"ENSG00000152495",1383.5581069758,-4.86229533724257,0.836542967174256,-5.81236771814224,6.15953529762812e-09,1.2155045087052e-07
"ENSG00000173926",321.036443454537,4.12553083590982,0.709989615096974,5.81069180194465,6.22152072054949e-09,1.22705293409412e-07
"ENSG00000156689",7.64704913532779,6.1240171087593,1.05416467621402,5.80935526198186,6.27138846343778e-09,1.23619990067831e-07
"ENSG00000012124",1619.29355748764,5.7223753652384,0.985047193764954,5.80923980237625,6.27571458336088e-09,1.23632291949787e-07
"ENSG00000260742",42.8504760735341,3.74524082989728,0.644713824262911,5.8091523540373,6.27899308953946e-09,1.23632291949787e-07
"ENSG00000182636",99.5351460979034,-5.58987920805475,0.962318096748672,-5.80876451034325,6.29355374100297e-09,1.23850144785448e-07
"ENSG00000274987",13.6151127622812,4.2712974269758,0.735480331025829,5.80749375176126,6.34149175091727e-09,1.24724220322594e-07
"ENSG00000157734",674.61732688716,4.54559890771552,0.782819671101552,5.80669990231484,6.37161891163898e-09,1.2524349824612e-07
"ENSG00000268204",40.4286076568748,3.05340687504132,0.525849997139948,5.80661194570416,6.37496548296976e-09,1.2524349824612e-07
"ENSG00000136052",363.655139128287,-4.57142526606709,0.787294771110343,-5.80649768525692,6.37931541525352e-09,1.2525948483321e-07
"ENSG00000294552",10.0232422542872,6.51923777227117,1.12338966467617,5.80318475170447,6.50670279998411e-09,1.27619283821172e-07
"ENSG00000125637",9044.59741117058,-2.03942479269474,0.351463160425647,-5.80267015816066,6.52671042388482e-09,1.27870097696266e-07
"ENSG00000112139",196.876792790699,5.00158349378711,0.86204715850931,5.80198362052032,6.55349650080235e-09,1.28323909923395e-07
"ENSG00000227507",4630.32077862596,-5.2248957525145,0.900803151929792,-5.80026362177041,6.62107463279265e-09,1.29575527979437e-07
"ENSG00000157514",18870.7986285144,3.1924016687521,0.550508740774544,5.79900269023979,6.67104624218727e-09,1.30481391491307e-07
"ENSG00000260417",23.2064312914077,5.15900736784003,0.889765814440933,5.79816316170968,6.70452056458274e-09,1.31063756864597e-07
"ENSG00000172215",180.509187844989,-3.53827128804743,0.610399374442045,-5.79664959729309,6.76528378280126e-09,1.32178644321228e-07
"ENSG00000166923",624.998158912847,7.47772757180129,1.29022107163673,5.795694812452,6.80388949874531e-09,1.32859632758851e-07
"ENSG00000213390",2218.11438993953,-2.11681484020148,0.365332780405114,-5.7942099744079,6.86435340289838e-09,1.33892690659398e-07
"ENSG00000304316",65.4086139071685,3.62161246525502,0.625401359557553,5.7908611964278,7.00264312754465e-09,1.36514928378584e-07
"ENSG00000042286",647.972291050355,-2.67183652528017,0.46143154841097,-5.7903204375192,7.02522668592221e-09,1.36879856803485e-07
"ENSG00000275055",42.413005052269,3.04786700759584,0.526405175340324,5.78996398662945,7.040151757173e-09,1.37095247686961e-07
"ENSG00000186407",33.6627678650307,8.2631295383671,1.42744783836616,5.78874359978365,7.09148485499733e-09,1.38018998095448e-07
"ENSG00000286796",12.4415568557257,6.81586462680528,1.17749331466574,5.7884529295524,7.1037648778482e-09,1.38182075509686e-07
"ENSG00000150457",2507.73815559252,3.34372392515599,0.577692488630206,5.78806889645467,7.12002094085721e-09,1.38422273198158e-07
"ENSG00000122432",48.7616312378993,2.28579953609062,0.394945368353706,5.78763474456927,7.1384420925276e-09,1.38704276358482e-07
"ENSG00000262075",11.5747585461015,6.724749491028,1.16215185405488,5.78646367732806,7.18836213430095e-09,1.39597677369084e-07
"ENSG00000289171",18.3825395968367,3.51131959159124,0.606930720373422,5.78537133436063,7.2352322512679e-09,1.40430902358582e-07
"ENSG00000160712",417.209482898647,5.32043571651556,0.919758109067345,5.78460321693777,7.26836836475531e-09,1.40951107146252e-07
"ENSG00000272072",51.2392060442968,3.34112788996253,0.577593563296643,5.78456565702166,7.2699924554289e-09,1.40951107146252e-07
"ENSG00000293475",119.330136186307,3.78375594851227,0.654410569626881,5.78192976111254,7.38485429059977e-09,1.430214918981e-07
"ENSG00000297026",15.9959576339197,7.18549738499799,1.24292939629772,5.78109859369426,7.42143782602929e-09,1.43651459384486e-07
"ENSG00000164509",114.174645511446,-4.14150205484724,0.716485632540301,-5.78030021364635,7.45674414667603e-09,1.44256030127558e-07
"ENSG00000137692",1697.95217189186,-2.06226321481968,0.357211177106159,-5.77323260578378,7.7764971563252e-09,1.50359761065148e-07
"ENSG00000274840",16.8304002532934,7.25993400631662,1.25761819096418,5.77276478543194,7.79812641332657e-09,1.50695708572206e-07
"ENSG00000302983",9.22304380384393,5.9810015199342,1.03642265561607,5.77081317889466,7.88898992271877e-09,1.52285450159425e-07
"ENSG00000165972",13.7573766111213,5.50722367352274,0.955127073513962,5.76595913385785,8.11947338898952e-09,1.5647877387638e-07
"ENSG00000072201",18.7812352695502,7.4179954165004,1.28679426924811,5.76470970828525,8.17985109866034e-09,1.57556653407693e-07
"ENSG00000104356",521.296004428075,-2.5133448904388,0.436129240102189,-5.76284426572706,8.27081064844071e-09,1.59222094994058e-07
"ENSG00000167554",68.0928809389594,3.81908681555527,0.662895210755106,5.76122251842027,8.3506860356059e-09,1.60669007374406e-07
"ENSG00000168528",245.891399723725,5.57603689043866,0.96787132586184,5.76113450356997,8.35504239127252e-09,1.60669007374406e-07
"ENSG00000074706",95.4251543765413,-3.30217529662705,0.573243979842929,-5.76050584522817,8.38622258655868e-09,1.61093696562409e-07
"ENSG00000296271",8.89223189068173,-5.2940802970357,0.919120768661673,-5.75993980066884,8.4143940336854e-09,1.61547244152414e-07
"ENSG00000255582",10.8454080100877,-6.38566719361706,1.10898554220539,-5.75811581900174,8.50579902866948e-09,1.63213658284686e-07
"ENSG00000071909",92.2390495088604,-4.97880538357079,0.864711434760457,-5.75776517278278,8.52348121631045e-09,1.63464402622712e-07
"ENSG00000293612",15.9123544781197,4.6668083419346,0.811001458402086,5.75437724998621,8.69617654662916e-09,1.66505927370107e-07
"ENSG00000250645",8.89994822910396,-6.83962432105214,1.18878964485812,-5.75343531181958,8.74479199166392e-09,1.67346311144635e-07
"ENSG00000177990",167.900040818625,5.5844439479387,0.971115236369085,5.75054714291009,8.89550942813408e-09,1.69982524414038e-07
"ENSG00000161955",547.252752548089,3.29211648815996,0.57257321328756,5.7496865235059,8.94090664335854e-09,1.70730347774149e-07
"ENSG00000198336",54.3248503758006,6.77924474930356,1.17947882373103,5.7476612660657,9.04862833914991e-09,1.72601245573165e-07
"ENSG00000291213",95.0348994728446,3.52729368651018,0.61382097080474,5.74645353332549,9.11346601725774e-09,1.73557630786722e-07
