"Gene","AUC"
"ENSG00000158825",0.839285714285714
"ENSG00000158869",0.839285714285714
"ENSG00000159713",0.839285714285714
"ENSG00000162882",0.839285714285714
"ENSG00000164690",0.839285714285714
"ENSG00000167994",0.839285714285714
"ENSG00000170421",0.839285714285714
"ENSG00000170683",0.839285714285714
"ENSG00000170890",0.839285714285714
"ENSG00000178412",0.839285714285714
"ENSG00000181631",0.839285714285714
"ENSG00000185972",0.839285714285714
"ENSG00000187955",0.839285714285714
"ENSG00000196118",0.839285714285714
"ENSG00000197446",0.839285714285714
"ENSG00000197763",0.839285714285714
"ENSG00000198298",0.839285714285714
"ENSG00000213600",0.839285714285714
"ENSG00000224174",0.839285714285714
"ENSG00000226609",0.839285714285714
"ENSG00000227502",0.839285714285714
"ENSG00000229924",0.839285714285714
"ENSG00000230319",0.839285714285714
"ENSG00000231473",0.839285714285714
"ENSG00000233099",0.839285714285714
"ENSG00000233718",0.839285714285714
"ENSG00000233968",0.839285714285714
"ENSG00000237361",0.839285714285714
"ENSG00000245317",0.839285714285714
"ENSG00000248100",0.839285714285714
"ENSG00000248971",0.839285714285714
"ENSG00000249212",0.839285714285714
"ENSG00000254508",0.839285714285714
"ENSG00000256061",0.839285714285714
"ENSG00000257335",0.839285714285714
"ENSG00000258940",0.839285714285714
"ENSG00000259211",0.839285714285714
"ENSG00000259805",0.839285714285714
"ENSG00000260196",0.839285714285714
"ENSG00000264265",0.839285714285714
"ENSG00000267811",0.839285714285714
"ENSG00000269019",0.839285714285714
"ENSG00000269054",0.839285714285714
"ENSG00000269463",0.839285714285714
"ENSG00000271105",0.839285714285714
"ENSG00000271918",0.839285714285714
"ENSG00000277130",0.839285714285714
"ENSG00000279717",0.839285714285714
"ENSG00000285492",0.839285714285714
"ENSG00000288857",0.839285714285714
"ENSG00000289018",0.839285714285714
"ENSG00000289395",0.839285714285714
"ENSG00000290427",0.839285714285714
"ENSG00000290880",0.839285714285714
"ENSG00000297800",0.839285714285714
"ENSG00000298340",0.839285714285714
"ENSG00000302249",0.839285714285714
"ENSG00000302518",0.839285714285714
"ENSG00000303740",0.839285714285714
"ENSG00000305691",0.839285714285714
"ENSG00000306205",0.839285714285714
"ENSG00000306878",0.839285714285714
"ENSG00000309071",0.839285714285714
"ENSG00000309956",0.839285714285714
"ENSG00000310379",0.839285714285714
"ENSG00000101439",0.839285714285714
"ENSG00000126759",0.839285714285714
"ENSG00000143850",0.839285714285714
"ENSG00000153246",0.839285714285714
"ENSG00000154025",0.839285714285714
"ENSG00000163554",0.839285714285714
"ENSG00000166016",0.839285714285714
"ENSG00000166927",0.839285714285714
"ENSG00000169860",0.839285714285714
"ENSG00000178789",0.839285714285714
"ENSG00000186526",0.839285714285714
"ENSG00000196866",0.839285714285714
"ENSG00000198223",0.839285714285714
"ENSG00000245330",0.839285714285714
"ENSG00000249635",0.839285714285714
"ENSG00000253389",0.839285714285714
"ENSG00000255337",0.839285714285714
"ENSG00000258820",0.839285714285714
"ENSG00000260368",0.839285714285714
"ENSG00000260608",0.839285714285714
"ENSG00000260742",0.839285714285714
"ENSG00000261514",0.839285714285714
"ENSG00000261649",0.839285714285714
"ENSG00000262482",0.839285714285714
"ENSG00000264107",0.839285714285714
"ENSG00000269951",0.839285714285714
"ENSG00000272501",0.839285714285714
"ENSG00000283122",0.839285714285714
"ENSG00000288839",0.839285714285714
"ENSG00000288990",0.839285714285714
"ENSG00000289626",0.839285714285714
"ENSG00000289835",0.839285714285714
"ENSG00000289956",0.839285714285714
"ENSG00000293000",0.839285714285714
"ENSG00000296731",0.839285714285714
"ENSG00000301126",0.839285714285714
"ENSG00000301408",0.839285714285714
"ENSG00000304629",0.839285714285714
"ENSG00000304661",0.839285714285714
"ENSG00000306450",0.839285714285714
"ENSG00000307287",0.839285714285714
"ENSG00000307594",0.839285714285714
"ENSG00000307992",0.839285714285714
"ENSG00000310289",0.839285714285714
"ENSG00000310385",0.839285714285714
"ENSG00000061918",0.830357142857143
"ENSG00000179899",0.830357142857143
"ENSG00000213973",0.830357142857143
"ENSG00000254343",0.830357142857143
"ENSG00000264801",0.830357142857143
"ENSG00000270210",0.830357142857143
"ENSG00000288804",0.830357142857143
"ENSG00000290665",0.830357142857143
"ENSG00000297360",0.830357142857143
"ENSG00000099957",0.830357142857143
"ENSG00000140285",0.830357142857143
"ENSG00000165168",0.830357142857143
"ENSG00000204421",0.830357142857143
"ENSG00000234026",0.830357142857143
"ENSG00000249274",0.830357142857143
"ENSG00000302984",0.830357142857143
"ENSG00000307176",0.830357142857143
"ENSG00000005249",0.821428571428572
"ENSG00000070808",0.821428571428572
"ENSG00000105737",0.821428571428572
"ENSG00000113430",0.821428571428572
"ENSG00000117407",0.821428571428572
"ENSG00000126583",0.821428571428572
"ENSG00000129295",0.821428571428572
"ENSG00000137267",0.821428571428572
"ENSG00000143153",0.821428571428572
"ENSG00000150337",0.821428571428572
"ENSG00000155760",0.821428571428572
"ENSG00000158113",0.821428571428572
"ENSG00000164877",0.821428571428572
"ENSG00000167552",0.821428571428572
"ENSG00000167995",0.821428571428572
"ENSG00000170412",0.821428571428572
"ENSG00000176697",0.821428571428572
"ENSG00000177398",0.821428571428572
"ENSG00000179820",0.821428571428572
"ENSG00000183690",0.821428571428572
"ENSG00000184307",0.821428571428572
"ENSG00000186510",0.821428571428572
"ENSG00000187080",0.821428571428572
"ENSG00000188747",0.821428571428572
"ENSG00000203593",0.821428571428572
"ENSG00000214708",0.821428571428572
"ENSG00000240729",0.821428571428572
"ENSG00000244346",0.821428571428572
"ENSG00000246323",0.821428571428572
"ENSG00000251322",0.821428571428572
"ENSG00000257084",0.821428571428572
"ENSG00000257698",0.821428571428572
"ENSG00000259775",0.821428571428572
"ENSG00000268240",0.821428571428572
"ENSG00000270124",0.821428571428572
"ENSG00000272186",0.821428571428572
"ENSG00000274536",0.821428571428572
"ENSG00000278238",0.821428571428572
"ENSG00000279555",0.821428571428572
"ENSG00000283341",0.821428571428572
"ENSG00000285628",0.821428571428572
"ENSG00000290043",0.821428571428572
"ENSG00000290051",0.821428571428572
