"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENST00000677625.1",9.6527146044199,-21.753076705828,2.99497085490108,-7.26320146662877,3.78034226203757e-13,1.06029253450056e-10
"ENST00000683018.1",9.34586244579318,21.6442745903949,2.98337325646106,7.2549670221519,4.0175970859734e-13,1.12374942273502e-10
"ENST00000686418.1",9.33579732986525,21.6420594184594,2.98337453723912,7.25422140207963,4.03978856452149e-13,1.12686921835435e-10
"ENST00000713739.1",9.30094203769215,-21.70543324648,2.9950473134718,-7.24710863459432,4.25762475685217e-13,1.18439695994907e-10
"ENST00000244458.7",38.4794515869975,-21.6523604193272,2.99337916999656,-7.23341721501728,4.7098960345515e-13,1.30665058656377e-10
"ENST00000622732.5",10.3468091091829,21.5655242288029,2.98307361010526,7.22929670784823,4.85501671070763e-13,1.34326076164302e-10
"ENST00000490511.1",9.70124203825788,21.563856784851,2.98319214207193,7.22845051806626,4.88535764942902e-13,1.34800221217069e-10
"ENST00000375406.2",9.11388579701823,-21.6453601216835,2.9950966554508,-7.22693208657921,4.94026992287508e-13,1.35947972300832e-10
"ENST00000434494.5",8.75771739092612,21.5580666417989,2.98356264064648,7.22561220874105,4.98849374739241e-13,1.36905992514122e-10
"ENST00000358694.10",8.7515901888463,-21.6097334130291,2.99518751548179,-7.21481820464689,5.40060776539439e-13,1.47818833402791e-10
"ENST00000646608.1",8.61759822903905,-21.5955278840341,2.99522494192428,-7.20998532756611,5.59579062257621e-13,1.52751618190019e-10
"ENST00000648607.1",8.52154563124162,-21.5854046032002,2.99524898100018,-7.20654768272129,5.7388233607266e-13,1.56238318231109e-10
"ENST00000682131.1",9.03400567765496,21.4805836449613,2.98345881528846,7.19989280055955,6.02599169536667e-13,1.63620098445497e-10
"ENST00000833355.1",8.2893025654317,21.4795381515373,2.98374383793823,7.19885463303702,6.07204425492777e-13,1.6443321329399e-10
"ENST00000700711.1",8.43904888674841,-21.5603346703814,2.9952751250209,-7.19811495454227,6.10506660799449e-13,1.64890096616397e-10
"ENST00000539935.7",8.22858132000891,-21.539384454312,2.99533380784723,-7.19097964904036,6.4328071174365e-13,1.73283529562123e-10
"ENST00000742668.1",8.21153809731907,-21.5337874580534,2.99534875932423,-7.18907519233639,6.52316444680403e-13,1.75255112596727e-10
"ENST00000689924.2",8.00617203006544,-21.5033009003938,2.995447597647,-7.17866035022117,7.03977918362722e-13,1.88638366455132e-10
"ENST00000742454.1",8.09464656866795,-21.495142998174,2.99538296636459,-7.17609175172083,7.17324236888759e-13,1.91711474651005e-10
"ENST00000590230.5",7.71791682557541,-21.4519697633311,2.99551044308998,-7.16137371939944,7.98725716498394e-13,2.12909411421594e-10
"ENST00000552960.5",7.59373537248862,21.3606889757675,2.98405141683038,7.15828449043836,8.16928870513032e-13,2.17194581190852e-10
"ENST00000526772.5",17.035415720097,21.3329170678322,2.98203219210162,7.15381850146882,8.43966394163766e-13,2.23800158647692e-10
"ENST00000402563.5",7.28673584857043,-21.3405045524251,2.99565612548018,-7.12381650580951,1.0497878459054e-12,2.7765800661145e-10
"ENST00000816919.1",7.16212673187968,-21.3230863813589,2.99571052856273,-7.11787276442533,1.09605478136731e-12,2.89146048563652e-10
"ENST00000424424.2",6.76793657209374,-21.2755819306703,2.99587375976258,-7.10162831839629,1.23295456806185e-12,3.24422759580253e-10
"ENST00000664997.1",6.67299238053916,-21.2555197252964,2.99591972353626,-7.09482285466825,1.29517277062183e-12,3.39917927175051e-10
"ENST00000457718.6",6.59986524293209,-21.2402264817482,2.99594659147244,-7.08965458269703,1.34447148489578e-12,3.51951608480679e-10
"ENST00000307765.10",6.54649912906067,-21.2292808391589,2.99597376829064,-7.08593682089259,1.38106810852068e-12,3.60607126350901e-10
"ENST00000419819.2",6.52561483225729,-21.2271723522428,2.99598822930142,-7.08519884845887,1.38844790678056e-12,3.61609214660581e-10
"ENST00000257209.8",6.50014242971283,-21.2202852976483,2.99599490626064,-7.08288430441084,1.41184544765509e-12,3.6676727045153e-10
"ENST00000438270.2",26.9274923399931,21.0550034565828,2.98141502193689,7.06208404454348,1.64023724391964e-12,4.25017108993623e-10
"ENST00000360134.10",6.29179845222015,-21.1562556518543,2.9961026701991,-7.06125856843499,1.65001231494993e-12,4.26467613342235e-10
"ENST00000552276.5",6.0455235035993,-21.1232557453623,2.99623729738579,-7.0499275086764,1.79011025607114e-12,4.61509410033008e-10
"ENST00000678674.1",6.00764565231958,-21.1097335345145,2.99625310775602,-7.04537726798529,1.84959677933299e-12,4.7564454406157e-10
"ENST00000675488.1",5.78111374604705,-21.0713402878128,2.99646247077831,-7.03207214951025,2.03488523729224e-12,5.21978740027328e-10
"ENST00000432488.1",5.9192796263848,-21.0662092841973,2.99633292975007,-7.03066374067934,2.05553340853233e-12,5.25953815231307e-10
"ENST00000563407.1",5.86513257994467,-21.0578727664792,2.99635349668853,-7.02783326124627,2.09765349699734e-12,5.35389346172374e-10
"ENST00000721958.1",5.68155090192588,-21.0493254824672,2.99654504121438,-7.02453164993534,2.14785487150555e-12,5.46835280290814e-10
"ENST00000372647.6",6.31084160890176,-21.0166271746354,2.99608850430421,-7.01468836599543,2.30462047247285e-12,5.85287606706893e-10
"ENST00000714243.1",23.5808634905952,20.8631947782869,2.98157964373713,6.9973628985932,2.60825082747024e-12,6.6075471893032e-10
"ENST00000697073.1",14.1320292972287,20.7556802623314,2.9823633461329,6.95947403231213,3.41545463160311e-12,8.63103984416475e-10
"ENST00000636541.1",7.87107064748441,-20.711938709316,2.99548451819185,-6.9143868324241,4.69891344368137e-12,1.18450906223645e-09
"ENST00000263360.11",10.1239747302162,20.5420197863463,2.98313799571862,6.8860440971313,5.73652152936607e-12,1.4425090948216e-09
"ENST00000338844.8",7.18234752185222,-20.5936022560679,2.99570594040778,-6.87437374219201,6.22627746558196e-12,1.56181657320309e-09
"ENST00000329516.8",10.9526225185266,-19.8644373657534,2.99471628377737,-6.63316170328412,3.2857150846503e-11,8.22177720924517e-09
"ENST00000393485.5",343.121522102321,-7.23394101780002,1.22728161448926,-5.89427962775312,3.76319443145434e-09,9.39354056455912e-07
"ENST00000687295.1",209.292943348221,-10.838965948518,1.84507211045326,-5.87454868951183,4.23996851191617e-09,1.05578318362697e-06
"ENST00000612677.6",691.241254812154,-5.92606658790978,1.04849982765234,-5.65194808012382,1.58639514323928e-08,3.94062869485955e-06
"ENST00000356613.4",225.324886688222,-5.54656967634667,1.01048713449873,-5.48900573494003,4.0420250201385e-08,1.00160791354612e-05
"ENST00000650903.2",97.2907391832361,-9.73330603175108,1.78690608146721,-5.44701600867527,5.12218547337939e-08,1.26619680758771e-05
"ENST00000689693.1",142.605925094832,-10.2858395629628,1.94155652536612,-5.29772861545878,1.17252056809334e-07,2.89145271396988e-05
"ENST00000607212.3",49.3681884763336,-4.96598755469623,0.945180231390765,-5.25401123486167,1.48821796437227e-07,3.66112377437729e-05
"ENST00000401073.7",250.564792005886,-8.9819543027956,1.71262317228454,-5.24455960199007,1.56656059871517e-07,3.84458825011125e-05
"ENST00000327726.11",640.038339970824,-6.87666767695694,1.31385210600659,-5.23397393475157,1.6590385816035e-07,4.0617799978812e-05
"ENST00000274071.6",170.852102591906,-11.0229618363817,2.1462989704994,-5.13579980603395,2.80946605861377e-07,6.8618856057908e-05
"ENST00000383045.7",57.9713945963758,-8.989755069832,1.75185450626938,-5.1315648860452,2.87343134046823e-07,7.00136577189555e-05
"ENST00000383763.6",179.997697185076,-6.32089333222385,1.23345519665823,-5.12454230145442,2.98261383836292e-07,7.25009510952346e-05
